Periodo,Inflación mensual,Inflación subyacente,Inflación subyacente - mercancias,Inflación subyacente - servicios,Inflación no subyacente,Inflación no subyacente - agropecuarios,Inflación no subyacente - energéticos y tarifas autorizadas por el gobierno  ,Inflación mensual interanual,Inflación subyacente interanual,Inflación subyacente - mercancias interanual,Inflación subyacente - servicios interanual,Inflación no subyacente interanual,Inflación no subyacente - agropecuarios interanual,Inflación no subyacente - energéticos y tarifas autorizadas por el gobierno interanual,Inflación mensual acumulada,Inflación subyacente acumulada,Inflación subyacente - mercancias acumulada,Inflación subyacente - servicios acumulada,Inflación no subyacenteacumulada,Inflación no subyacente - agropecuarios acumulada,Inflación no subyacente - energéticos y tarifas autorizadas por el gobierno acumulada
2011/08,0.16,0.12,0.09,0.15,0.29,0.15,0.37,3.42,3.22,4.39,2.24,3.9,4.37,3.58,0.94,1.97,2.78,1.29,-2.48,-2,-2.81
2011/09,0.25,0.27,0.32,0.22,0.17,-0.25,0.42,3.14,3.12,4.42,2.03,2.98,2.09,3.5,1.19,2.24,3.11,1.52,-2.32,-2.25,-2.41
2011/10,0.67,0.26,0.35,0.18,2.12,0.3,3.15,3.2,3.19,4.33,2.24,3.09,0.79,4.37,1.87,2.5,3.47,1.7,-0.24,-1.96,0.67
2011/11,1.08,0.32,0.34,0.31,3.67,1.46,4.89,3.48,3.28,4.32,2.41,4.13,0.87,5.85,2.97,2.83,3.82,2.02,3.41,-0.53,5.59
2011/12,0.82,0.51,0.67,0.37,1.86,4.29,0.57,3.82,3.35,4.52,2.4,5.34,3.73,6.19,3.82,3.35,4.52,2.4,5.34,3.73,6.19
2012/01,0.71,0.45,0.85,0.11,1.55,3.23,0.63,4.05,3.34,4.64,2.28,6.38,7.37,5.82,0.71,0.45,0.85,0.11,1.55,3.23,0.63
2012/02,0.2,0.43,0.64,0.25,-0.51,-1.81,0.22,3.87,3.37,4.75,2.23,5.53,5.45,5.58,0.91,0.88,1.49,0.36,1.03,1.36,0.85
2012/03,0.06,0.24,0.25,0.24,-0.55,-1.61,0.04,3.73,3.31,4.51,2.32,5.12,5.06,5.16,0.97,1.12,1.75,0.6,0.48,-0.27,0.89
2012/04,-0.31,0.15,0.32,0.01,-1.84,-1.07,-2.26,3.41,3.39,4.48,2.48,3.49,0.86,5,0.65,1.27,2.08,0.61,-1.37,-1.33,-1.39
2012/05,-0.32,0.27,0.3,0.23,-2.26,0.66,-3.87,3.85,3.48,4.5,2.63,5.15,5.6,4.89,0.34,1.54,2.38,0.84,-3.59,-0.68,-5.2
2012/06,0.46,0.22,0.36,0.09,1.3,2.62,0.54,4.34,3.5,4.66,2.54,7.26,11.29,5.02,0.8,1.76,2.76,0.93,-2.34,1.92,-4.69
2012/07,0.56,0.31,0.32,0.31,1.41,2.99,0.48,4.42,3.59,4.91,2.5,7.3,11.27,5.02,1.36,2.08,3.08,1.24,-0.96,4.96,-4.23
2012/08,0.3,0.22,0.39,0.08,0.55,0.59,0.53,4.57,3.7,5.23,2.43,7.58,11.76,5.19,1.67,2.31,3.49,1.33,-0.41,5.59,-3.73
2012/09,0.44,0.18,0.33,0.05,1.32,3.55,-0.03,4.77,3.61,5.24,2.25,8.81,16.02,4.73,2.12,2.49,3.83,1.38,0.9,9.33,-3.75
2012/10,0.51,0.23,0.29,0.18,1.42,-0.07,2.36,4.6,3.58,5.17,2.25,8.07,15.6,3.93,2.63,2.72,4.12,1.56,2.34,9.26,-1.48
2012/11,0.68,0.05,0.38,-0.23,2.73,-0.8,4.89,4.18,3.3,5.22,1.7,7.09,13.02,3.94,3.33,2.78,4.53,1.32,5.13,8.38,3.34
2012/12,0.23,0.12,0.46,-0.17,0.58,0.74,0.48,3.57,2.9,5,1.15,5.74,9.18,3.84,3.57,2.9,5,1.15,5.74,9.18,3.84
2013/01,0.4,0.42,0.24,0.58,0.33,-0.24,0.67,3.25,2.88,4.37,1.62,4.47,5.51,3.89,0.4,0.42,0.24,0.58,0.33,-0.24,0.67
2013/02,0.49,0.51,0.15,0.82,0.44,0.02,0.68,3.55,2.96,3.86,2.21,5.47,7.48,4.36,0.9,0.94,0.39,1.41,0.78,-0.22,1.36
2013/03,0.73,0.3,0.21,0.38,2.11,4.63,0.66,4.25,3.02,3.81,2.35,8.29,14.29,5.02,1.64,1.24,0.6,1.79,2.9,4.4,2.03
2013/04,0.07,0.08,0.14,0.03,0,1.49,-0.9,4.65,2.95,3.63,2.37,10.32,17.25,6.47,1.7,1.32,0.74,1.82,2.9,5.96,1.11
2013/05,-0.33,0.2,0.17,0.22,-2.05,-1.01,-2.71,4.63,2.88,3.49,2.36,10.56,15.3,7.75,1.37,1.52,0.92,2.04,0.8,4.89,-1.63
2013/06,-0.06,0.13,0.01,0.22,-0.69,-3,0.83,4.09,2.79,3.14,2.49,8.39,8.99,8.06,1.3,1.65,0.93,2.27,0.1,1.74,-0.82
2013/07,-0.03,0.03,-0.16,0.2,-0.26,-1.51,0.53,3.47,2.5,2.64,2.38,6.6,4.22,8.12,1.27,1.69,0.77,2.47,-0.15,0.2,-0.29
2013/08,0.28,0.09,0.26,-0.05,0.94,1.52,0.57,3.46,2.37,2.51,2.24,7.01,5.19,8.16,1.56,1.78,1.03,2.42,0.78,1.72,0.28
2013/09,0.38,0.32,0.41,0.25,0.55,0.74,0.44,3.39,2.52,2.59,2.45,6.2,2.33,8.66,1.94,2.11,1.45,2.68,1.34,2.47,0.72
2013/10,0.48,0.19,0.11,0.26,1.41,-0.72,2.74,3.36,2.48,2.41,2.54,6.18,1.67,9.07,2.43,2.3,1.55,2.95,2.77,1.74,3.48
2013/11,0.93,0.14,-0.02,0.27,3.54,2.97,3.88,3.62,2.56,1.99,3.06,7.02,5.53,8.01,3.38,2.44,1.53,3.23,6.4,4.76,7.49
2013/12,0.57,0.33,0.36,0.3,1.35,1.82,1.07,3.97,2.78,1.89,3.54,7.84,6.67,8.65,3.97,2.78,1.89,3.54,7.84,6.67,8.65
2014/01,0.89,0.85,1.26,0.51,1.02,-0.67,2.04,4.48,3.21,2.93,3.47,8.58,6.21,10.13,0.89,0.85,1.26,0.51,1.02,-0.67,2.04
2014/02,0.25,0.28,0.13,0.41,0.17,-0.71,0.68,4.23,2.98,2.91,3.05,8.28,5.43,10.12,1.15,1.14,1.39,0.92,1.19,-1.38,2.73
2014/03,0.27,0.21,0.18,0.24,0.46,0.71,0.31,3.76,2.89,2.88,2.9,6.54,1.49,9.73,1.43,1.35,1.58,1.17,1.65,-0.67,3.05
2014/04,-0.19,0.29,0.23,0.34,-1.67,-1.12,-2,3.5,3.11,2.97,3.23,4.75,-1.13,8.52,1.24,1.65,1.81,1.51,-0.05,-1.79,0.99
2014/05,-0.32,0.09,0.28,-0.06,-1.64,0.79,-3.06,3.51,3,3.08,2.94,5.19,0.67,8.14,0.91,1.74,2.09,1.45,-1.69,-1.01,-2.09
2014/06,0.17,0.21,0.17,0.25,0.04,-0.4,0.32,3.75,3.09,3.24,2.96,5.96,3.37,7.59,1.09,1.96,2.27,1.7,-1.64,-1.41,-1.78
2014/07,0.28,0.19,-0.04,0.38,0.56,0.78,0.42,4.07,3.25,3.37,3.15,6.83,5.78,7.47,1.37,2.15,2.23,2.09,-1.09,-0.64,-1.37
2014/08,0.36,0.21,0.45,0.02,0.83,1.95,0.16,4.15,3.37,3.56,3.22,6.72,6.22,7.03,1.73,2.37,2.68,2.11,-0.27,1.3,-1.21
2014/09,0.44,0.29,0.32,0.27,0.92,2.02,0.25,4.22,3.34,3.46,3.24,7.11,7.57,6.82,2.18,2.67,3.01,2.38,0.65,3.34,-0.97
2014/10,0.55,0.17,0.17,0.17,1.79,0.1,2.84,4.3,3.32,3.53,3.14,7.51,8.46,6.93,2.74,2.84,3.19,2.55,2.45,3.45,1.84
2014/11,0.81,0.16,0.12,0.2,2.83,1.62,3.58,4.17,3.34,3.68,3.06,6.78,7.04,6.62,3.57,3.01,3.31,2.75,5.35,5.12,5.49
2014/12,0.49,0.23,0.19,0.27,1.28,3.32,0.06,4.08,3.24,3.5,3.03,6.7,8.61,5.55,4.08,3.24,3.5,3.03,6.7,8.61,5.55
2015/01,-0.09,-0.03,0.22,-0.24,-0.27,-0.78,0.05,3.07,2.34,2.43,2.26,5.34,8.5,3.49,-0.09,-0.03,0.22,-0.24,-0.27,-0.78,0.05
2015/02,0.19,0.34,0.33,0.35,-0.27,-0.88,0.11,3,2.4,2.64,2.2,4.88,8.32,2.9,0.1,0.31,0.55,0.11,-0.53,-1.64,0.15
2015/03,0.41,0.26,0.15,0.36,0.85,0.74,0.92,3.14,2.45,2.6,2.32,5.29,8.34,3.52,0.51,0.57,0.69,0.47,0.31,-0.92,1.07
2015/04,-0.26,0.16,0.28,0.05,-1.51,0.26,-2.59,3.06,2.31,2.65,2.03,5.46,9.86,2.89,0.25,0.73,0.97,0.52,-1.21,-0.66,-1.55
2015/05,-0.5,0.12,0.08,0.15,-2.4,-1.37,-3.05,2.88,2.33,2.44,2.23,4.64,7.5,2.9,-0.25,0.84,1.05,0.67,-3.58,-2.02,-4.54
2015/06,0.17,0.21,0.21,0.21,0.04,-0.24,0.21,2.87,2.33,2.48,2.2,4.63,7.67,2.8,-0.09,1.05,1.26,0.88,-3.55,-2.26,-4.34
2015/07,0.15,0.17,-0.06,0.36,0.07,0.09,0.05,2.74,2.31,2.47,2.18,4.12,6.94,2.42,0.06,1.23,1.21,1.25,-3.48,-2.17,-4.29
2015/08,0.21,0.2,0.34,0.08,0.24,0.23,0.25,2.59,2.3,2.36,2.25,3.51,5.14,2.51,0.27,1.43,1.55,1.33,-3.25,-1.94,-4.06
2015/09,0.37,0.37,0.5,0.26,0.39,0.89,0.07,2.52,2.38,2.54,2.24,2.96,3.98,2.33,0.65,1.81,2.06,1.6,-2.87,-1.07,-3.99
2015/10,0.51,0.25,0.35,0.17,1.35,0.04,2.19,2.48,2.47,2.73,2.25,2.52,3.91,1.68,1.16,2.06,2.41,1.77,-1.56,-1.02,-1.89
2015/11,0.55,0.04,0.18,-0.09,2.15,0.43,3.22,2.21,2.34,2.79,1.95,1.84,2.7,1.33,1.72,2.1,2.6,1.68,0.56,-0.6,1.27
2015/12,0.41,0.31,0.21,0.39,0.72,2.33,-0.26,2.13,2.41,2.82,2.07,1.28,1.72,1,2.13,2.41,2.82,2.07,1.28,1.72,1
2016/01,0.38,0.19,0.26,0.14,0.96,2.68,-0.12,2.61,2.64,2.86,2.46,2.52,5.27,0.84,0.38,0.19,0.26,0.14,0.96,2.68,-0.12
2016/02,0.44,0.36,0.48,0.25,0.68,1.77,-0.02,2.87,2.66,3.02,2.36,3.49,8.08,0.71,0.82,0.55,0.74,0.39,1.64,4.5,-0.14
2016/03,0.15,0.36,0.34,0.37,-0.49,-1,-0.16,2.6,2.76,3.23,2.37,2.12,6.21,-0.37,0.97,0.91,1.09,0.76,1.14,3.46,-0.3
2016/04,-0.32,0.22,0.42,0.06,-1.96,-1.39,-2.32,2.54,2.83,3.37,2.37,1.66,4.46,-0.09,0.65,1.13,1.51,0.82,-0.83,2.02,-2.61
2016/05,-0.45,0.21,0.26,0.18,-2.51,-0.77,-3.65,2.6,2.93,3.55,2.41,1.55,5.1,-0.71,0.2,1.35,1.77,1,-3.32,1.24,-6.16
2016/06,0.11,0.25,0.27,0.24,-0.35,-1.42,0.37,2.54,2.97,3.61,2.44,1.16,3.87,-0.56,0.31,1.61,2.04,1.24,-3.66,-0.2,-5.82
2016/07,0.26,0.17,0.03,0.29,0.55,-0.77,1.43,2.65,2.97,3.71,2.36,1.65,2.97,0.81,0.57,1.78,2.08,1.53,-3.13,-0.97,-4.47
2016/08,0.28,0.19,0.39,0.02,0.58,0.35,0.72,2.73,2.96,3.76,2.29,1.99,3.09,1.29,0.86,1.98,2.48,1.55,-2.57,-0.62,-3.78
2016/09,0.61,0.48,0.65,0.33,1.04,3.1,-0.28,2.97,3.07,3.92,2.36,2.65,5.34,0.94,1.47,2.46,3.14,1.88,-1.55,2.46,-4.05
2016/10,0.61,0.28,0.4,0.17,1.65,-0.05,2.78,3.06,3.1,3.97,2.36,2.95,5.25,1.52,2.09,2.75,3.56,2.06,0.07,2.41,-1.39
2016/11,0.78,0.22,0.13,0.31,2.54,0.73,3.71,3.31,3.29,3.91,2.77,3.34,5.56,1.99,2.89,2.98,3.69,2.38,2.61,3.16,2.26
2016/12,0.46,0.45,0.35,0.53,0.51,0.97,0.22,3.36,3.44,4.05,2.92,3.13,4.15,2.49,3.36,3.44,4.05,2.92,3.13,4.15,2.49
2017/01,1.7,0.58,0.93,0.28,5.14,-0.88,8.96,4.72,3.84,4.75,3.07,7.4,0.53,11.8,1.7,0.58,0.93,0.28,5.14,-0.88,8.96
2017/02,0.58,0.76,1.11,0.47,0.03,-0.94,0.59,4.86,4.26,5.39,3.29,6.71,-2.14,12.48,2.29,1.35,2.04,0.75,5.18,-1.81,9.6
2017/03,0.61,0.57,0.78,0.4,0.73,2.2,-0.1,5.35,4.48,5.85,3.32,8.02,1.02,12.56,2.92,1.93,2.84,1.15,5.95,0.34,9.5
2017/04,0.12,0.45,0.6,0.32,-0.84,1.87,-2.42,5.82,4.72,6.05,3.59,9.25,4.36,12.44,3.04,2.39,3.46,1.47,5.05,2.22,6.85
2017/05,-0.12,0.28,0.48,0.1,-1.3,1.21,-2.82,6.16,4.78,6.29,3.5,10.6,6.43,13.41,2.92,2.67,3.95,1.57,3.69,3.45,3.84
2017/06,0.25,0.3,0.32,0.29,0.09,0.42,-0.12,6.31,4.83,6.33,3.56,11.09,8.42,12.86,3.18,2.98,4.28,1.87,3.78,3.89,3.71
2017/07,0.38,0.27,0.12,0.4,0.72,2.49,-0.41,6.44,4.94,6.42,3.68,11.27,11.98,10.81,3.57,3.26,4.4,2.28,4.52,6.48,3.29
2017/08,0.49,0.25,0.47,0.06,1.22,2.06,0.67,6.66,5,6.51,3.72,11.98,13.89,10.76,4.08,3.52,4.9,2.34,5.8,8.67,3.98
2017/09,0.31,0.28,0.33,0.24,0.41,-0.06,0.72,6.35,4.8,6.17,3.63,11.28,10.4,11.86,4.41,3.81,5.24,2.59,6.23,8.6,4.73
2017/10,0.63,0.25,0.22,0.28,1.76,-1.88,4.15,6.37,4.77,5.97,3.75,11.4,8.37,13.36,5.06,4.07,5.47,2.88,8.1,6.56,9.07
2017/11,1.03,0.34,0.34,0.35,3.06,1.16,4.24,6.63,4.9,6.19,3.79,11.97,8.84,13.94,6.15,4.43,5.82,3.24,11.41,7.8,13.7
2017/12,0.59,0.42,0.32,0.5,1.09,1.81,0.65,6.77,4.87,6.17,3.76,12.62,9.75,14.44,6.77,4.87,6.17,3.76,12.62,9.75,14.44
2018/01,0.53,0.28,0.56,0.04,1.24,0.03,1.97,5.55,4.56,5.78,3.52,8.44,10.76,7.1,0.53,0.28,0.56,0.04,1.24,0.03,1.97
2018/02,0.38,0.49,0.54,0.45,0.08,-1.9,1.26,5.34,4.27,5.18,3.49,8.49,9.69,7.81,0.91,0.77,1.1,0.49,1.32,-1.87,3.25
2018/03,0.32,0.33,0.25,0.4,0.3,0.38,0.26,5.04,4.02,4.64,3.49,8.03,7.74,8.19,1.24,1.11,1.35,0.89,1.63,-1.49,3.52
2018/04,-0.34,0.15,0.33,-0.01,-1.72,-0.49,-2.43,4.55,3.71,4.35,3.15,7.07,5.24,8.18,0.9,1.25,1.69,0.87,-0.12,-1.98,1.01
2018/05,-0.16,0.26,0.21,0.3,-1.38,-1.07,-1.56,4.51,3.69,4.07,3.36,6.99,2.87,9.59,0.73,1.51,1.9,1.17,-1.5,-3.03,-0.57
2018/06,0.39,0.23,0.13,0.32,0.84,-0.32,1.53,4.65,3.62,3.88,3.38,7.79,2.11,11.4,1.12,1.75,2.04,1.5,-0.67,-3.34,0.96
2018/07,0.54,0.29,0.22,0.34,1.27,1.91,0.89,4.81,3.63,3.99,3.33,8.38,1.53,12.86,1.66,2.04,2.26,1.85,0.59,-1.5,1.86
2018/08,0.58,0.25,0.39,0.09,1.61,1.9,1.42,4.9,3.63,3.9,3.36,8.8,1.37,13.69,2.26,2.29,2.66,1.94,2.21,0.37,3.3
2018/09,0.42,0.32,0.38,0.26,0.73,-0.21,1.4,5.02,3.67,3.95,3.38,9.15,1.22,14.47,2.69,2.62,3.05,2.21,2.96,0.16,4.75
2018/10,0.52,0.31,0.24,0.39,1.15,-0.7,2.47,4.9,3.73,3.98,3.48,8.5,2.43,12.62,3.22,2.94,3.3,2.6,4.14,-0.54,7.34
2018/11,0.85,0.25,0.26,0.24,2.66,3.48,2.09,4.72,3.63,3.9,3.37,8.07,4.78,10.3,4.1,3.2,3.57,2.85,6.91,2.91,9.59
2018/12,0.7,0.47,0.34,0.61,1.39,4.03,-0.44,4.83,3.68,3.92,3.47,8.4,7.06,9.1,4.83,3.68,3.92,3.47,8.4,7.06,9.1
2019/01,0.09,0.2,0.31,0.08,-0.25,0.35,-0.68,4.37,3.6,3.66,3.51,6.81,7.41,6.26,0.09,0.2,0.31,0.08,-0.25,0.35,-0.68
2019/02,-0.03,0.43,0.49,0.36,-1.38,-4.28,0.75,3.94,3.54,3.61,3.43,5.25,4.8,5.73,0.06,0.63,0.8,0.45,-1.62,-3.94,0.07
2019/03,0.39,0.34,0.34,0.35,0.51,-0.67,1.33,4,3.55,3.71,3.38,5.47,3.7,6.86,0.44,0.98,1.15,0.8,-1.12,-4.59,1.4
2019/04,0.05,0.46,0.36,0.56,-1.15,0.53,-2.29,4.41,3.87,3.74,3.97,6.08,4.77,7.01,0.5,1.44,1.51,1.36,-2.26,-4.08,-0.93
2019/05,-0.29,0.16,0.29,0.03,-1.66,0.17,-2.95,4.28,3.77,3.82,3.69,5.78,6.08,5.5,0.21,1.6,1.8,1.39,-3.88,-3.92,-3.85
2019/06,0.06,0.3,0.23,0.38,-0.68,-0.18,-1.04,3.95,3.85,3.92,3.75,4.19,6.23,2.83,0.27,1.91,2.04,1.78,-4.53,-4.09,-4.84
2019/07,0.38,0.26,0.15,0.38,0.74,2,-0.19,3.78,3.82,3.85,3.79,3.64,6.33,1.73,0.65,2.18,2.19,2.16,-3.82,-2.17,-5.02
2019/08,-0.02,0.2,0.3,0.09,-0.7,-1.5,-0.1,3.16,3.78,3.76,3.79,1.28,2.78,0.2,0.63,2.39,2.5,2.26,-4.5,-3.64,-5.12
2019/09,0.26,0.3,0.38,0.2,0.15,-0.02,0.28,3,3.75,3.77,3.73,0.71,2.98,-0.9,0.89,2.69,2.9,2.47,-4.35,-3.66,-4.85
2019/10,0.54,0.25,0.26,0.23,1.46,0.11,2.46,3.02,3.68,3.78,3.58,1.01,3.82,-0.91,1.44,2.94,3.16,2.71,-2.95,-3.56,-2.51
2019/11,0.81,0.22,0.12,0.33,2.62,1.84,3.18,2.97,3.65,3.63,3.67,0.98,2.18,0.14,2.26,3.17,3.28,3.05,-0.41,-1.78,0.59
2019/12,0.56,0.41,0.26,0.57,1,1.78,0.45,2.83,3.59,3.56,3.64,0.59,-0.03,1.04,2.83,3.59,3.56,3.64,0.59,-0.03,1.04
2020/01,0.48,0.33,0.66,-0.04,0.96,1.83,0.34,3.24,3.73,3.92,3.51,1.81,1.44,2.08,0.48,0.33,0.66,-0.04,0.96,1.83,0.34
2020/02,0.42,0.36,0.39,0.33,0.57,1.74,-0.29,3.7,3.66,3.82,3.48,3.81,7.82,1.01,0.9,0.69,1.06,0.3,1.53,3.61,0.04
2020/03,-0.05,0.29,0.35,0.23,-1.06,1.3,-2.83,3.25,3.6,3.83,3.35,2.19,9.96,-3.13,0.85,0.99,1.42,0.52,0.45,4.95,-2.79
2020/04,-1.01,0.36,0.63,0.06,-5.17,-0.79,-8.57,2.15,3.5,4.11,2.84,-1.96,8.52,-9.35,-0.17,1.35,2.06,0.58,-4.74,4.12,-11.11
2020/05,0.38,0.3,0.46,0.12,0.66,1.34,0.09,2.84,3.64,4.3,2.93,0.35,9.79,-6.51,0.22,1.65,2.53,0.7,-4.1,5.52,-11.03
2020/06,0.55,0.37,0.6,0.11,1.12,-2.09,3.85,3.33,3.71,4.69,2.65,2.16,7.69,-1.9,0.76,2.03,3.15,0.81,-3.03,3.32,-7.61
2020/07,0.66,0.4,0.64,0.13,1.48,-0.03,2.7,3.62,3.85,5.19,2.4,2.92,5.55,0.95,1.43,2.43,3.81,0.94,-1.6,3.28,-5.11
2020/08,0.39,0.32,0.47,0.15,0.63,0.88,0.44,4.05,3.97,5.36,2.46,4.3,8.09,1.5,1.82,2.75,4.29,1.09,-0.97,4.19,-4.69
2020/09,0.23,0.32,0.42,0.2,-0.04,0.04,-0.1,4.01,3.99,5.4,2.45,4.1,8.16,1.11,2.06,3.08,4.73,1.3,-1.01,4.23,-4.79
2020/10,0.61,0.24,0.29,0.18,1.77,1.45,2.03,4.09,3.98,5.44,2.4,4.42,9.61,0.68,2.68,3.33,5.04,1.48,0.74,5.75,-2.86
2020/11,0.08,-0.08,-0.31,0.16,0.56,-0.4,1.32,3.33,3.66,4.99,2.22,2.33,7.2,-1.13,2.76,3.24,4.71,1.65,1.31,5.33,-1.58
2020/12,0.38,0.55,0.77,0.3,-0.13,-1.3,0.78,3.15,3.8,5.52,1.95,1.18,3.96,-0.81,3.15,3.8,5.52,1.95,1.18,3.96,-0.81
2021/01,0.86,0.36,0.55,0.14,2.4,0.54,3.81,3.54,3.84,5.41,2.13,2.63,2.64,2.62,0.86,0.36,0.55,0.14,2.4,0.54,3.81
2021/02,0.63,0.39,0.52,0.25,1.36,-0.22,2.5,3.76,3.87,5.54,2.06,3.43,0.66,5.5,1.5,0.75,1.07,0.4,3.79,0.32,6.41
2021/03,0.83,0.54,0.6,0.47,1.69,1.27,1.99,4.67,4.12,5.79,2.3,6.31,0.64,10.73,2.34,1.3,1.68,0.87,5.55,1.6,8.53
2021/04,0.33,0.37,0.44,0.28,0.21,2.61,-1.49,6.08,4.13,5.59,2.53,12.34,4.08,19.3,2.67,1.67,2.13,1.16,5.76,4.25,6.91
2021/05,0.2,0.53,0.62,0.42,-0.75,1.91,-2.71,5.89,4.37,5.76,2.84,10.76,4.67,15.97,2.88,2.2,2.76,1.58,4.97,6.24,4.01
2021/06,0.53,0.57,0.65,0.48,0.42,0.05,0.71,5.88,4.58,5.81,3.22,10,6.95,12.45,3.43,2.79,3.43,2.07,5.41,6.29,4.75
2021/07,0.59,0.48,0.58,0.36,0.93,0.74,1.07,5.81,4.66,5.74,3.46,9.39,7.77,10.67,4.04,3.28,4.03,2.44,6.39,7.07,5.87
2021/08,0.19,0.43,0.7,0.12,-0.52,1.98,-2.43,5.59,4.78,5.99,3.43,8.14,8.95,7.5,4.24,3.72,4.75,2.56,5.84,9.2,3.3
2021/09,0.62,0.46,0.68,0.21,1.1,1.38,0.87,6,4.92,6.26,3.43,9.37,10.41,8.55,4.88,4.19,5.46,2.77,7,10.7,4.2
2021/10,0.84,0.49,0.6,0.38,1.87,0.18,3.22,6.24,5.19,6.58,3.64,9.47,9.02,9.82,5.76,4.71,6.09,3.16,9,10.9,7.56
2021/11,1.14,0.37,0.31,0.43,3.45,4.48,2.64,7.37,5.67,7.24,3.92,12.61,14.36,11.26,6.97,5.09,6.42,3.6,12.75,15.87,10.4
2021/12,0.36,0.8,0.91,0.68,-0.9,-0.08,-1.56,7.36,5.94,7.4,4.3,11.74,15.78,8.68,7.36,5.94,7.4,4.3,11.74,15.78,8.68
2022/01,0.59,0.62,0.99,0.19,0.52,0.14,0.83,7.07,6.21,7.86,4.35,9.68,15.32,5.56,0.59,0.62,0.99,0.19,0.52,0.14,0.83
2022/02,0.83,0.76,0.96,0.52,1.04,0.52,1.45,7.28,6.59,8.34,4.62,9.34,16.17,4.48,1.43,1.38,1.96,0.71,1.56,0.65,2.3
2022/03,0.99,0.72,0.93,0.47,1.79,1.23,2.24,7.45,6.78,8.69,4.62,9.45,16.12,4.73,2.43,2.1,2.91,1.18,3.39,1.9,4.58
2022/04,0.54,0.78,1.03,0.48,-0.14,1.05,-1.07,7.68,7.22,9.33,4.83,9.07,14.36,5.18,2.98,2.9,3.96,1.67,3.24,2.96,3.46
