Periodo,Inflación quincenal,Inflación subyacente,Inflación subyacente - mercancias,Inflación subyacente - servicios,Inflación no subyacente,Inflación no subyacente - agropecuarios,Inflación no subyacente - energéticos y tarifas autorizadas por el gobierno  
02/08/2011,0,0.05,0.19,-0.07,-0.14,-0.73,0.19
01/09/2011,0.21,0.22,0.2,0.23,0.19,0.09,0.25
02/09/2011,0.06,0.05,0.05,0.05,0.1,0.04,0.14
01/10/2011,0.61,0.2,0.28,0.14,2.03,0.29,3.02
02/10/2011,0.06,0.06,0.1,0.03,0.07,-0.02,0.12
01/11/2011,0.97,0.25,0.22,0.27,3.41,1,4.74
02/11/2011,0.17,0.09,0.14,0.05,0.43,0.91,0.17
01/12/2011,0.51,0.35,0.39,0.31,1.03,2.3,0.35
02/12/2011,0.46,0.23,0.43,0.07,1.22,2.96,0.27
01/01/2012,0.32,0.2,0.5,-0.06,0.71,1.35,0.36
02/01/2012,0.32,0.27,0.27,0.27,0.45,0.79,0.26
01/02/2012,0.07,0.26,0.45,0.1,-0.54,-1.67,0.1
02/02/2012,-0.05,0.06,0.12,0.01,-0.39,-1.06,-0.01
01/03/2012,0.05,0.16,0.14,0.18,-0.33,-0.95,0.01
02/03/2012,0.07,0.1,0.1,0.11,-0.06,-0.28,0.06
01/04/2012,-0.42,0.03,0.17,-0.1,-1.88,-0.91,-2.4
02/04/2012,0.14,0.14,0.19,0.1,0.14,-0.04,0.24
01/05/2012,-0.48,0.14,0.13,0.15,-2.55,0.28,-4.11
02/05/2012,0.18,0.1,0.15,0.06,0.46,0.79,0.27
01/06/2012,0.24,0.1,0.26,-0.03,0.72,1.4,0.32
02/06/2012,0.25,0.12,0.05,0.19,0.69,1.62,0.15
01/07/2012,0.39,0.2,0.23,0.18,1.02,2.25,0.28
02/07/2012,0.09,0.09,0.12,0.06,0.09,-0.16,0.24
01/08/2012,0.14,0.16,0.28,0.05,0.07,-0.35,0.32
02/08/2012,0.24,0.05,0.11,-0.01,0.88,2.06,0.17
01/09/2012,0.25,0.12,0.19,0.06,0.68,1.57,0.15
02/09/2012,0.14,0.07,0.16,-0.01,0.39,1.85,-0.51
01/10/2012,0.45,0.17,0.17,0.16,1.38,-0.39,2.5
02/10/2012,-0.03,0.05,0.07,0.03,-0.3,-1.18,0.24
01/11/2012,0.79,0.18,0.35,0.03,2.79,-0.33,4.68
02/11/2012,-0.18,-0.3,0,-0.57,0.2,0.23,0.17
01/12/2012,0.27,0.26,0.35,0.18,0.32,0.26,0.36
02/12/2012,0.1,0.03,0.21,-0.13,0.31,0.72,0.07
01/01/2013,0.15,0.18,0.17,0.19,0.08,-0.56,0.45
02/01/2013,0.4,0.47,-0.06,0.92,0.19,-0.08,0.35
01/02/2013,0.24,0.24,0.17,0.31,0.22,-0.03,0.36
02/02/2013,0.11,0.07,0.02,0.11,0.25,0.19,0.29
01/03/2013,0.52,0.26,0.2,0.3,1.36,2.92,0.47
02/03/2013,0.31,0.02,0,0.05,1.21,3.13,0.09
01/04/2013,-0.09,0.05,0.14,-0.03,-0.56,0.21,-1.05
02/04/2013,0.01,0.03,0,0.06,-0.08,-0.51,0.21
01/05/2013,-0.35,0.14,0.14,0.14,-1.93,-0.44,-2.88
02/05/2013,0.02,0.08,0.06,0.09,-0.17,-0.64,0.14
01/06/2013,-0.05,0.07,0.04,0.1,-0.44,-2.1,0.65
02/06/2013,-0.05,0.04,-0.11,0.17,-0.33,-1.19,0.21
01/07/2013,0,0.04,-0.06,0.12,-0.12,-0.78,0.3
02/07/2013,-0.02,-0.04,-0.09,0,0.05,-0.28,0.26
01/08/2013,0.26,0.1,0.25,-0.02,0.78,1.35,0.43
02/08/2013,0.07,0.01,0.11,-0.07,0.25,0.62,0.02
01/09/2013,0.34,0.3,0.36,0.25,0.46,0.54,0.4
02/09/2013,0.01,0.03,-0.01,0.07,-0.06,-0.24,0.05
01/10/2013,0.4,0.14,0.14,0.14,1.28,-0.95,2.67
02/10/2013,0.14,0.08,-0.05,0.19,0.32,0.71,0.08
01/11/2013,0.85,0.11,0.03,0.18,3.27,2.34,3.83
02/11/2013,0.02,-0.03,-0.06,-0.01,0.21,0.52,0.02
01/12/2013,0.4,0.3,0.28,0.32,0.71,0.8,0.66
02/12/2013,0.32,0.08,0.2,-0.03,1.07,1.51,0.8
01/01/2014,0.68,0.69,1.14,0.32,0.63,-0.94,1.57
02/01/2014,0.12,0.24,0.04,0.41,-0.28,-0.96,0.12
01/02/2014,0.12,0.12,0.1,0.14,0.12,-0.6,0.55
02/02/2014,0.15,0.08,0.01,0.14,0.36,0.76,0.13
01/03/2014,0.17,0.11,0.13,0.09,0.38,0.58,0.26
02/03/2014,0.05,0.13,0.1,0.16,-0.2,-0.5,-0.03
01/04/2014,-0.19,0.26,0.15,0.36,-1.59,-0.65,-2.13
02/04/2014,-0.05,-0.07,0.07,-0.19,0.02,-0.46,0.3
01/05/2014,-0.37,0.06,0.13,-0.01,-1.72,0.82,-3.2
02/05/2014,0.15,0.15,0.22,0.09,0.15,0.4,-0.01
01/06/2014,0.08,0.12,0.09,0.13,-0.03,-0.48,0.24
02/06/2014,0.04,0.04,-0.06,0.13,0.01,-0.24,0.15
01/07/2014,0.2,0.14,-0.02,0.28,0.38,0.48,0.33
02/07/2014,0.12,0.05,0.02,0.08,0.34,0.84,0.03
01/08/2014,0.19,0.15,0.4,-0.07,0.33,0.64,0.13
02/08/2014,0.22,0.08,0.06,0.09,0.67,1.75,0.01
01/09/2014,0.32,0.24,0.24,0.24,0.6,1.2,0.22
02/09/2014,0.02,0.03,0.1,-0.03,-0.03,-0.12,0.03
01/10/2014,0.5,0.12,0.08,0.15,1.72,-0.13,2.87
02/10/2014,0.09,0.07,0.08,0.07,0.16,0.58,-0.09
01/11/2014,0.74,0.13,0.13,0.12,2.66,0.93,3.72
02/11/2014,0.04,0,-0.09,0.08,0.18,0.78,-0.17
01/12/2014,0.41,0.21,0.2,0.22,1.04,2.44,0.2
02/12/2014,0.11,0.05,0.07,0.03,0.29,0.92,-0.1
01/01/2015,-0.19,-0.09,0.21,-0.34,-0.48,-1.55,0.19
02/01/2015,0.09,0.07,-0.05,0.17,0.13,0.65,-0.18
01/02/2015,0.11,0.28,0.36,0.21,-0.42,-0.98,-0.08
02/02/2015,0.08,0.05,-0.02,0.11,0.19,-0.44,0.57
01/03/2015,0.18,0.15,0.13,0.16,0.28,-0.14,0.53
02/03/2015,0.37,0.18,0.05,0.29,0.95,2.2,0.2
01/04/2015,-0.45,0.03,0.24,-0.15,-1.89,-0.54,-2.73
02/04/2015,0.02,0.08,0.04,0.12,-0.17,-0.57,0.07
01/05/2015,-0.53,0.03,0.02,0.04,-2.27,-0.87,-3.15
02/05/2015,0.04,0.08,0.07,0.09,-0.09,-0.45,0.14
01/06/2015,0.13,0.13,0.18,0.08,0.15,0.25,0.09
02/06/2015,0.03,0.08,-0.01,0.16,-0.15,-0.53,0.09
01/07/2015,0.09,0.1,-0.05,0.23,0.08,0.24,-0.02
02/07/2015,0.08,0.06,0.01,0.11,0.13,0.25,0.05
01/08/2015,0.12,0.12,0.27,-0.01,0.09,-0.14,0.24
02/08/2015,0.11,0.09,0.13,0.07,0.17,0.49,-0.03
01/09/2015,0.32,0.27,0.34,0.22,0.48,0.98,0.16
02/09/2015,0,0.1,0.19,0.03,-0.34,-0.66,-0.14
01/10/2015,0.46,0.16,0.2,0.12,1.44,0,2.35
02/10/2015,0.11,0.09,0.11,0.07,0.18,0.75,-0.18
01/11/2015,0.52,0,0.12,-0.1,2.15,0.28,3.32
02/11/2015,-0.06,-0.02,0.03,-0.06,-0.17,-0.45,-0.01
01/12/2015,0.26,0.27,0.16,0.37,0.21,1.04,-0.29
02/12/2015,0.36,0.09,0.08,0.1,1.18,3,0.06
01/01/2016,0.03,0.08,0.19,-0.02,-0.13,0.23,-0.36
02/01/2016,0.35,0.14,0.05,0.22,1,1.92,0.42
01/02/2016,0.29,0.23,0.39,0.09,0.47,1.4,-0.14
02/02/2016,-0.05,0.12,0.14,0.11,-0.57,-1.15,-0.19
01/03/2016,0.1,0.3,0.23,0.36,-0.52,-1.02,-0.2
02/03/2016,0.15,-0.01,0.09,-0.09,0.64,1.21,0.27
01/04/2016,-0.34,0.15,0.24,0.06,-1.84,-1.2,-2.26
02/04/2016,-0.09,0.16,0.25,0.07,-0.86,-1.58,-0.4
01/05/2016,-0.48,0.08,0.07,0.09,-2.26,-0.28,-3.55
02/05/2016,0.17,0.11,0.11,0.1,0.36,0.62,0.19
01/06/2016,0.02,0.16,0.2,0.13,-0.42,-1.51,0.3
02/06/2016,0.01,0.08,0.02,0.12,-0.21,-0.44,-0.06
01/07/2016,0.28,0.11,-0.01,0.22,0.81,-0.22,1.48
02/07/2016,-0.04,0.04,0.06,0.01,-0.29,-0.67,-0.04
01/08/2016,0.31,0.13,0.27,0.01,0.9,0.07,1.44
02/08/2016,-0.02,0.08,0.18,0,-0.36,1.23,-1.36
01/09/2016,0.54,0.36,0.42,0.31,1.1,2.37,0.28
02/09/2016,0.17,0.15,0.29,0.03,0.23,0.19,0.26
01/10/2016,0.49,0.17,0.2,0.13,1.54,-0.14,2.66
02/10/2016,0.06,0.08,0.11,0.05,-0.01,0,-0.02
01/11/2016,0.77,0.23,0.21,0.25,2.47,0.67,3.64
02/11/2016,-0.04,-0.1,-0.28,0.06,0.14,0.11,0.16
01/12/2016,0.42,0.47,0.36,0.56,0.26,0.46,0.13
02/12/2016,0.13,0.05,0.25,-0.11,0.36,0.89,0.02
01/01/2017,1.51,0.37,0.58,0.19,5.03,-1.02,8.88
02/01/2017,0.24,0.37,0.45,0.3,-0.14,-0.61,0.13
01/02/2017,0.33,0.46,0.69,0.27,-0.04,-0.86,0.42
02/02/2017,0.25,0.23,0.38,0.1,0.3,0.45,0.21
01/03/2017,0.35,0.31,0.44,0.2,0.47,1.4,-0.07
02/03/2017,0.28,0.29,0.3,0.28,0.24,1.11,-0.27
01/04/2017,-0.15,0.26,0.33,0.2,-1.38,0.53,-2.49
02/04/2017,0.27,0.08,0.24,-0.06,0.85,1.57,0.41
01/05/2017,-0.34,0.15,0.26,0.06,-1.8,0.23,-3.03
02/05/2017,0.17,0.17,0.2,0.13,0.16,0.38,0.02
01/06/2017,0.15,0.17,0.18,0.16,0.09,0.03,0.13
02/06/2017,0.03,0.1,0.07,0.12,-0.17,0.4,-0.53
01/07/2017,0.24,0.19,0.04,0.31,0.39,1.22,-0.14
02/07/2017,0.25,0.06,0.09,0.05,0.82,2.11,0
01/08/2017,0.31,0.2,0.41,0.02,0.64,0.87,0.49
02/08/2017,0.12,0.05,0.05,0.04,0.33,0.28,0.36
01/09/2017,0.34,0.28,0.25,0.3,0.53,0.27,0.7
02/09/2017,-0.17,-0.04,0.11,-0.17,-0.58,-0.95,-0.34
01/10/2017,0.62,0.21,0.13,0.27,1.86,-1.52,4.07
02/10/2017,0.19,0.13,0.05,0.19,0.39,0.21,0.51
01/11/2017,0.92,0.28,0.33,0.24,2.79,1.08,3.85
02/11/2017,0.04,0,-0.03,0.04,0.13,-0.05,0.24
01/12/2017,0.44,0.43,0.27,0.56,0.46,0.58,0.39
02/12/2017,0.28,-0.02,0.14,-0.15,1.11,2.5,0.28
01/01/2018,0.24,0.17,0.42,-0.05,0.43,-1.01,1.32
02/01/2018,0.31,0.24,0.14,0.33,0.49,-0.37,1.01
01/02/2018,0.2,0.3,0.38,0.23,-0.06,-1.25,0.65
02/02/2018,0.04,0.14,0.17,0.1,-0.22,-0.94,0.2
01/03/2018,0.29,0.24,0.15,0.31,0.46,0.56,0.41
02/03/2018,0.01,0.05,0.04,0.06,-0.1,0.58,-0.5
01/04/2018,-0.35,0.07,0.27,-0.11,-1.53,-0.46,-2.16
02/04/2018,0,0.1,0.07,0.12,-0.28,-0.66,-0.05
01/05/2018,-0.29,0.13,0.06,0.18,-1.51,-0.69,-1.99
02/05/2018,0.26,0.16,0.22,0.1,0.54,-0.11,0.93
01/06/2018,0.13,0.08,0,0.15,0.3,-0.7,0.89
02/06/2018,0.25,0.14,0.05,0.23,0.54,0.87,0.35
01/07/2018,0.32,0.19,0.19,0.19,0.71,1.11,0.48
02/07/2018,0.18,0.05,0.03,0.07,0.56,0.71,0.47
01/08/2018,0.34,0.18,0.3,0.04,0.86,0.89,0.84
02/08/2018,0.3,0.09,0.14,0.03,0.93,1.28,0.68
01/09/2018,0.22,0.19,0.21,0.16,0.33,-0.36,0.82
02/09/2018,0.1,0.18,0.19,0.17,-0.13,-0.96,0.47
01/10/2018,0.4,0.17,0.14,0.2,1.1,-0.49,2.21
02/10/2018,0.14,0.1,0.01,0.2,0.24,0.55,0.03
01/11/2018,0.61,0.19,0.24,0.14,1.89,1.4,2.22
02/11/2018,0.33,0.02,0.04,-0.01,1.27,3.54,-0.28
01/12/2018,0.56,0.42,0.28,0.58,0.97,2.56,-0.16
02/12/2018,-0.06,0.07,0.08,0.07,-0.43,-0.6,-0.3
01/01/2019,0.11,0.08,0.22,-0.06,0.19,1.28,-0.6
02/01/2019,0.01,0.16,0.1,0.23,-0.45,-1.23,0.13
01/02/2019,-0.1,0.26,0.34,0.17,-1.15,-2.78,0.05
02/02/2019,0.14,0.19,0.21,0.17,-0.02,-1.85,1.29
01/03/2019,0.26,0.18,0.19,0.17,0.49,0.07,0.78
02/03/2019,0.12,0.14,0.1,0.19,0.04,0.4,-0.2
01/04/2019,-0.03,0.4,0.28,0.52,-1.32,-0.19,-2.1
02/04/2019,0.06,-0.02,0.07,-0.13,0.31,1.04,-0.2
01/05/2019,-0.3,0.09,0.13,0.05,-1.49,0.21,-2.69
02/05/2019,-0.03,0.17,0.25,0.08,-0.65,-1.12,-0.32
01/06/2019,0.01,0.16,0.1,0.23,-0.47,-0.44,-0.5
02/06/2019,0.14,0.11,0.01,0.22,0.25,1.65,-0.76
01/07/2019,0.27,0.17,0.07,0.27,0.6,1.15,0.18
02/07/2019,0.06,0.08,0.15,0,0.03,0.03,0.02
01/08/2019,-0.08,0.11,0.15,0.07,-0.66,-1.44,-0.08
02/08/2019,0.05,0.1,0.16,0.04,-0.1,-0.15,-0.07
01/09/2019,0.17,0.19,0.21,0.16,0.13,0.02,0.21
02/09/2019,0.13,0.12,0.18,0.05,0.15,0.07,0.21
01/10/2019,0.4,0.13,0.12,0.13,1.24,-0.07,2.2
02/10/2019,0.16,0.12,0.09,0.15,0.29,0.29,0.3
01/11/2019,0.68,0.16,0.11,0.21,2.3,1.48,2.89
02/11/2019,0.09,0.01,-0.07,0.09,0.33,0.43,0.26
01/12/2019,0.35,0.36,0.25,0.49,0.31,0.3,0.31
02/12/2019,0.32,0.08,0.09,0.07,1.05,2.51,0.02
01/01/2020,0.27,0.2,0.52,-0.14,0.46,0.65,0.31
02/01/2020,0.11,0.16,0.2,0.13,-0.05,-0.14,0.02
01/02/2020,0.12,0.22,0.24,0.19,-0.16,0.14,-0.38
02/02/2020,0.47,0.13,0.11,0.16,1.5,3.35,0.15
01/03/2020,0.11,0.16,0.19,0.12,-0.04,-0.08,-0.01
02/03/2020,-0.78,0.14,0.21,0.07,-3.51,-0.51,-5.77
01/04/2020,-0.72,0.2,0.4,-0.02,-3.56,-0.78,-5.78
02/04/2020,0.19,0.17,0.25,0.08,0.24,0.49,0.03
01/05/2020,0.3,0.24,0.36,0.12,0.46,2.43,-1.2
02/05/2020,-0.01,-0.06,-0.04,-0.08,0.16,-2.61,2.58
01/06/2020,0.32,0.29,0.43,0.15,0.39,-0.92,1.48
02/06/2020,0.47,0.21,0.39,0.01,1.29,0.3,2.1
01/07/2020,0.36,0.25,0.36,0.12,0.69,-0.26,1.46
02/07/2020,0.14,0.09,0.16,0.02,0.28,0.16,0.37
01/08/2020,0.24,0.18,0.26,0.09,0.43,0.75,0.19
02/08/2020,0.17,0.18,0.25,0.1,0.12,0.1,0.14
01/09/2020,0.16,0.17,0.16,0.17,0.15,0.17,0.14
02/09/2020,-0.03,0.12,0.26,-0.04,-0.51,-0.36,-0.62
01/10/2020,0.54,0.14,0.12,0.17,1.8,0.9,2.52
02/10/2020,0.16,0.07,0.07,0.07,0.45,1.46,-0.34
01/11/2020,0.04,-0.11,-0.3,0.1,0.51,-0.94,1.65
02/11/2020,-0.1,-0.02,-0.09,0.05,-0.33,-0.35,-0.31
01/12/2020,0.34,0.52,0.77,0.24,-0.23,-1.08,0.42
02/12/2020,0.19,0.08,0.09,0.07,0.54,-0.09,1.02
01/01/2021,0.51,0.24,0.39,0.06,1.37,0.31,2.17
02/01/2021,0.5,0.17,0.23,0.1,1.5,0.55,2.2
01/02/2021,0.23,0.22,0.3,0.13,0.26,0.69,0.94
02/02/2021,0.31,0.18,0.21,0.15,0.7,0.4,0.91
01/03/2021,0.53,0.35,0.4,0.28,1.08,0.76,1.31
02/03/2021,0.28,0.2,0.18,0.23,0.51,0.61,0.44
01/04/2021,0.06,0.18,0.29,0.06,-0.28,1.6,-1.61
02/04/2021,0.25,0.17,0.14,0.21,0.47,1.38,-0.19
01/05/2021,-0.01,0.33,0.42,0.23,-1,1.2,-2.63
02/05/2021,0.17,0.22,0.26,0.18,0.03,0.04,0.03
01/06/2021,0.34,0.35,0.42,0.28,0.31,0.13,0.45
02/06/2021,0.2,0.21,0.2,0.22,0.18,-0.21,0.49
01/07/2021,0.37,0.31,0.37,0.24,0.55,0.33,0.72
02/07/2021,0.24,0.13,0.21,0.03,0.57,1.03,0.22
01/08/2021,-0.02,0.28,0.47,0.06,-0.92,1.18,-2.53
02/08/2021,0.18,0.17,0.25,0.07,0.24,0.55,-0.01
01/09/2021,0.42,0.31,0.43,0.17,0.76,0.92,0.63
02/09/2021,0.21,0.13,0.24,0.01,0.44,0.37,0.49
01/10/2021,0.54,0.33,0.37,0.28,1.18,-0.66,2.65
02/10/2021,0.38,0.2,0.21,0.19,0.93,1.32,0.63
01/11/2021,0.69,0.15,0.07,0.25,2.29,2.17,2.38
02/11/2021,0.51,0.23,0.28,0.17,1.34,3.2,-0.1
01/12/2021,0.1,0.59,0.6,0.57,-1.29,-1.14,-1.42
02/12/2021,0.01,0.2,0.35,0.03,-0.54,-0.98,-0.18
01/01/2022,0.39,0.34,0.62,0.02,0.53,0.55,0.51
02/01/2022,0.39,0.35,0.38,0.3,0.53,0.17,0.83
01/02/2022,0.42,0.43,0.56,0.26,0.41,-0.1,0.82
02/02/2022,0.42,0.32,0.41,0.21,0.71,1.05,0.44
01/03/2022,0.48,0.35,0.49,0.2,0.86,0.24,1.35
02/03/2022,0.59,0.4,0.46,0.32,1.15,0.94,1.31
01/04/2022,0.16,0.44,0.55,0.32,-0.66,0.65,-1.7
02/04/2022,0.18,0.27,0.49,0,-0.09,-0.16,-0.03
